"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
7.07362555661284e-38,-5.07680757685198,0.025,0.725,1.38310600508451e-33,"THSD1","Up in Astrocytes"
1.30162705469075e-37,3.88082947438118,1,0.942,2.54507138003682e-33,"MAP1B","Up in Neurons"
7.80741190199438e-37,6.30403340135901,0.782,0.058,1.52658324919696e-32,"SLA","Up in Neurons"
1.13524265208035e-36,-5.61728597200866,0.017,0.754,2.21973995761271e-32,"FOXO1","Up in Astrocytes"
1.60259270954322e-36,-5.97667335066492,0.017,0.652,3.13354952496985e-32,"PPP1R3C","Up in Astrocytes"
2.90531750127069e-36,-4.42366852716821,0.017,0.507,5.68076731023457e-32,"CPQ","Up in Astrocytes"
4.61370649308675e-36,-4.49372671517138,0.042,0.696,9.02118030593252e-32,"PPARA","Up in Astrocytes"
7.12929141097757e-36,-5.11141862207955,0.101,0.957,1.39399034958844e-31,"CST3","Up in Astrocytes"
1.69999508098672e-35,-4.79550229980179,0.042,0.638,3.32400038185333e-31,"DGKG","Up in Astrocytes"
1.7242058011951e-35,-5.46956647340728,0.017,0.884,3.37133960307677e-31,"PAMR1","Up in Astrocytes"
2.78562390231158e-35,-5.59388269267456,0.025,0.623,5.44673041618982e-31,"RGS20","Up in Astrocytes"
3.85330428224323e-35,-5.61636113025318,0.017,0.696,7.53436586307018e-31,"NQO1","Up in Astrocytes"
4.06685044650343e-35,6.07188510470013,0.941,0.174,7.95191267804816e-31,"BCL11A","Up in Neurons"
4.46642838797217e-35,3.98247925292762,0.975,0.377,8.73320742700198e-31,"TMSB10","Up in Neurons"
1.94498790201426e-34,-6.14538162823151,0.042,0.841,3.80303484480847e-30,"TNS3","Up in Astrocytes"
3.60422206096499e-34,4.42675149671942,0.538,0,7.04733539580485e-30,"NKAIN1","Up in Neurons"
7.51547728704529e-34,-3.5049669306053,0.84,1,1.46950127393597e-29,"CPE","Up in Astrocytes"
7.67182529425057e-34,-5.83273773763637,0.05,0.797,1.50007199978481e-29,"ARHGEF6","Up in Astrocytes"
8.66884282675546e-34,-4.08697370306197,0.008,0.696,1.6950188379155e-29,"LGALS1","Up in Astrocytes"
1.57233552931838e-33,-4.10470122889325,0,0.696,3.07438766047624e-29,"MT1G","Up in Astrocytes"
1.66464401167435e-33,-5.24196444654838,0.025,0.942,3.25487843602685e-29,"PADI2","Up in Astrocytes"
2.21301476172446e-33,-4.38732657588328,0.008,0.377,4.32710776359983e-29,"TUBA4A","Up in Astrocytes"
1.123686275107e-32,-5.0995980130771,0.025,0.638,2.19714377371672e-28,"BAG3","Up in Astrocytes"
1.1749353285728e-32,-5.78640916112884,0.008,0.638,2.2973510479584e-28,"PLEKHB1","Up in Astrocytes"
2.39567951226722e-32,-0.810103135154194,1,1,4.6842721503361e-28,"MALAT1","Up in Astrocytes"
7.0544342422644e-32,-4.28129894730466,0.034,0.638,1.37935352738996e-27,"SSPO","Up in Astrocytes"
7.63901827602952e-32,-4.95157761525847,0.017,0.391,1.49365724351205e-27,"PRELP","Up in Astrocytes"
1.22702236347993e-31,-4.78853307313523,0,0.667,2.3991968273123e-27,"AIFM3","Up in Astrocytes"
2.13627714367968e-31,-5.20489996036513,0.067,0.899,4.17706269903689e-27,"ZFP36L1","Up in Astrocytes"
2.67722353501312e-31,-4.39757673003345,0.008,0.362,5.23477517801116e-27,"IFIT1","Up in Astrocytes"
4.50983181341266e-31,-6.89545153421682,0.042,0.986,8.81807414476577e-27,"ALDOC","Up in Astrocytes"
6.44121462044448e-31,-5.20666458434717,0.059,0.681,1.25945069473551e-26,"MYLK","Up in Astrocytes"
1.60516156180167e-30,4.79824748944004,0.966,0.551,3.1385724017908e-26,"CXADR","Up in Neurons"
2.50948000367959e-30,-4.0066450323212,0.025,0.681,4.9067862511947e-26,"PLIN5","Up in Astrocytes"
4.39312619876664e-30,-5.17113889164164,0,0.609,8.58987965644841e-26,"SLC2A4","Up in Astrocytes"
5.86060478325565e-30,-4.17702934142766,0.008,0.71,1.14592405326998e-25,"TTTY15","Up in Astrocytes"
6.72363691486097e-30,-5.46949667381348,0.101,0.913,1.31467272596277e-25,"ARAP2","Up in Astrocytes"
9.26862332479566e-30,-4.80546748792354,0.008,0.623,1.8122939186973e-25,"PHKA1","Up in Astrocytes"
1.18361104237336e-29,-5.07048450574806,0.017,0.58,2.31431467115263e-25,"ARHGAP24","Up in Astrocytes"
1.94185904983996e-29,-5.60695868634,0.025,0.739,3.79691700015207e-25,"HSDL2","Up in Astrocytes"
1.95686172742673e-29,-5.05126823489765,0.176,0.957,3.82625173563748e-25,"ITPR2","Up in Astrocytes"
3.640591821075e-29,-5.58568422268795,0.017,0.464,7.11844918774795e-25,"DHRS3","Up in Astrocytes"
5.61033911333885e-29,-4.97813036845743,0.479,1,1.09698960683114e-24,"SAT1","Up in Astrocytes"
6.25089095143812e-29,-6.11895680174612,0.042,0.899,1.2222367077347e-24,"CSRP1","Up in Astrocytes"
8.89981991094021e-29,3.80055697468555,0.849,0.058,1.74018178718614e-24,"MEX3A","Up in Neurons"
1.03313292704745e-28,-4.97669351565875,0,0.594,2.02008481225588e-24,"KDM5D","Up in Astrocytes"
1.23800207959913e-28,5.24209788922477,0.874,0.377,2.42066546624018e-24,"SATB2","Up in Neurons"
2.4731525920382e-28,-6.64628419426182,0.025,0.942,4.83575526321229e-24,"CLDN10","Up in Astrocytes"
2.54790016982907e-28,-5.23730726968989,0.084,0.971,4.98190920206678e-24,"PREX2","Up in Astrocytes"
2.66460724824764e-28,-4.34598750900271,0,0.667,5.21010655249861e-24,"OAF","Up in Astrocytes"
2.82956863241976e-28,2.75191450474898,1,0.783,5.53265554697036e-24,"RPS19","Up in Neurons"
3.17032262251083e-28,-4.63664798301597,0.025,0.696,6.19893182379543e-24,"TPCN1","Up in Astrocytes"
3.47556681327302e-28,-4.00574552459864,0.017,0.391,6.79577578999273e-24,"PARP4","Up in Astrocytes"
5.35919597582695e-28,-5.21786989246633,0.403,1,1.04788358915344e-23,"GLUL","Up in Astrocytes"
